Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P"
,W/mÂ²,kW,kW,kW
2022-09-01 00:00:00,0,0,0,0
2022-09-01 01:00:00,0,0,0,0
2022-09-01 02:00:00,0,0,0,0
2022-09-01 03:00:00,0,0,0,0
2022-09-01 04:00:00,0,0,0,0
2022-09-01 05:00:00,0,0,0,0
2022-09-01 06:00:00,0.01279085,0,0,0
2022-09-01 07:00:00,58.0415,60.72967,62.68642,55.74979
2022-09-01 08:00:00,273.6987,408.5236,410.3578,380.4019
2022-09-01 09:00:00,518.968,873.1776,849.9948,840.0425
2022-09-01 10:00:00,739.0128,1231.108,1210.264,1214.542
2022-09-01 11:00:00,906.3015,1471.46,1456.833,1468.571
2022-09-01 12:00:00,1008.363,1591.703,1581.943,1604.475
2022-09-01 13:00:00,1031.79,1578.537,1568.341,1592.838
2022-09-01 14:00:00,977.1088,1511.396,1501.298,1532.757
2022-09-01 15:00:00,847.2281,1355.845,1348.427,1380.234
2022-09-01 16:00:00,652.7399,1081.389,1072.263,1111.243
2022-09-01 17:00:00,419.447,693.9642,679.1394,724.0996
2022-09-01 18:00:00,184.9156,258.7905,251.0548,274.6205
2022-09-01 19:00:00,17.8612,21.57089,21.23327,22.84408
2022-09-01 20:00:00,0,0,0,0
2022-09-01 21:00:00,0,0,0,0
2022-09-01 22:00:00,0,0,0,0
2022-09-01 23:00:00,0,0,0,0
2022-09-02 00:00:00,0,0,0,0
2022-09-02 01:00:00,0,0,0,0
2022-09-02 02:00:00,0,0,0,0
2022-09-02 03:00:00,0,0,0,0
2022-09-02 04:00:00,0,0,0,0
2022-09-02 05:00:00,0,0,0,0
2022-09-02 06:00:00,0.07178425,0,0,0
2022-09-02 07:00:00,54.57392,58.60835,60.43495,55.27768
2022-09-02 08:00:00,256.301,385.7411,387.1169,363.1129
2022-09-02 09:00:00,496.6525,836.8206,813.6586,802.7933
2022-09-02 10:00:00,717.5599,1186.085,1162.246,1164.891
2022-09-02 11:00:00,881.1184,1412.099,1396.119,1404.486
2022-09-02 12:00:00,982.7839,1529.099,1518.481,1534.861
2022-09-02 13:00:00,1012.936,1515.376,1482.087,1508.891
2022-09-02 14:00:00,934.4197,1423.946,1396.43,1441.322
2022-09-02 15:00:00,824.9387,1321.439,1311.21,1354.192
2022-09-02 16:00:00,629.9587,1040.159,1030.36,1071.282
2022-09-02 17:00:00,380.5403,625.1907,611.8266,656.2118
2022-09-02 18:00:00,153.715,219.586,213.8163,229.3569
2022-09-02 19:00:00,10.61371,10.21715,10.08018,10.0305
2022-09-02 20:00:00,0,0,0,0
2022-09-02 21:00:00,0,0,0,0
2022-09-02 22:00:00,0.08291101,0.1247297,0.122108,0.1220872
2022-09-02 23:00:00,,,,
2022-09-03 00:00:00,,,,
2022-09-03 01:00:00,,,,
2022-09-03 02:00:00,,,,
2022-09-03 03:00:00,,,,
2022-09-03 04:00:00,,,,
2022-09-03 05:00:00,,,,
2022-09-03 06:00:00,,,,
2022-09-03 07:00:00,,,,
2022-09-03 08:00:00,,,,
2022-09-03 09:00:00,,,,
2022-09-03 10:00:00,,,,
2022-09-03 11:00:00,,,,
2022-09-03 12:00:00,,,,
2022-09-03 13:00:00,,,,
2022-09-03 14:00:00,,,,
2022-09-03 15:00:00,,,,
2022-09-03 16:00:00,,,,
2022-09-03 17:00:00,,,,
2022-09-03 18:00:00,,,,
2022-09-03 19:00:00,,,,
2022-09-03 20:00:00,,,,
2022-09-03 21:00:00,,,,
2022-09-03 22:00:00,,,,
2022-09-03 23:00:00,,,,
2022-09-04 00:00:00,,,,
2022-09-04 01:00:00,,,,
2022-09-04 02:00:00,,,,
2022-09-04 03:00:00,,,,
2022-09-04 04:00:00,,,,
2022-09-04 05:00:00,,,,
2022-09-04 06:00:00,,,,
2022-09-04 07:00:00,,,,
2022-09-04 08:00:00,,,,
2022-09-04 09:00:00,,,,
2022-09-04 10:00:00,,,,
2022-09-04 11:00:00,,,,
2022-09-04 12:00:00,834.7956,1030.351,1033.012,1040.984
2022-09-04 13:00:00,542.7122,822.4249,816.8147,850.9207
2022-09-04 14:00:00,612.0981,1012.209,1017.456,981.4087
2022-09-04 15:00:00,432.9106,733.0936,719.5079,722.2346
2022-09-04 16:00:00,425.3047,692.1912,689.8955,704.9577
2022-09-04 17:00:00,125.4575,207.1024,205.5114,209.0881
2022-09-04 18:00:00,35.63375,56.22382,54.65094,56.43243
2022-09-04 19:00:00,6.031053,0.02376543,0,0
2022-09-04 20:00:00,0,0,0,0
2022-09-04 21:00:00,0,0,0,0
2022-09-04 22:00:00,0,0,0,0
2022-09-04 23:00:00,0,0,0,0
2022-09-05 00:00:00,0.03417665,0.06546805,0.0620595,0.0600261
2022-09-05 01:00:00,,,,
2022-09-05 02:00:00,,,,
2022-09-05 03:00:00,,,,
2022-09-05 04:00:00,,,,
2022-09-05 05:00:00,,,,
2022-09-05 06:00:00,,,,
2022-09-05 07:00:00,,,,
2022-09-05 08:00:00,,,,
2022-09-05 09:00:00,,,,
2022-09-05 10:00:00,,,,
2022-09-05 11:00:00,,,,
2022-09-05 12:00:00,,,,
2022-09-05 13:00:00,303.3532,552.127,533.8066,526.74
2022-09-05 14:00:00,370.2701,591.921,587.9016,594.9042
2022-09-05 15:00:00,192.7185,320.4759,317.8219,324.7521
2022-09-05 16:00:00,157.077,264.5602,261.2876,264.9786
2022-09-05 17:00:00,167.0043,284.6286,286.6286,283.5324
2022-09-05 18:00:00,88.4037,144.7775,143.8544,145.3869
2022-09-05 19:00:00,10.71338,14.37362,14.27677,14.13414
2022-09-05 20:00:00,0,0,0,0
2022-09-05 21:00:00,0,0,0,0
2022-09-05 22:00:00,0,0,0,0
2022-09-05 23:00:00,0,0,0,0
2022-09-06 00:00:00,0,0,0,0
2022-09-06 01:00:00,0,0,0,0
2022-09-06 02:00:00,0,0,0,0
2022-09-06 03:00:00,0,0,0,0
2022-09-06 04:00:00,0,0,0,0
2022-09-06 05:00:00,0,0,0,0
2022-09-06 06:00:00,0,0,0,0
2022-09-06 07:00:00,19.83414,8.55533,8.29767,8.110667
2022-09-06 08:00:00,208.5347,316.4816,309.4916,300.0143
2022-09-06 09:00:00,314.0485,488.9153,501.6219,526.5952
2022-09-06 10:00:00,434.0461,702.7817,727.7913,730.0609
2022-09-06 11:00:00,816.8655,1270.597,1257.412,1288.251
2022-09-06 12:00:00,715.0283,1122.569,1004.259,959.8119
2022-09-06 13:00:00,890.191,1340.118,1359.407,1325.494
2022-09-06 14:00:00,921.8163,1316.251,1299.601,1413.552
2022-09-06 15:00:00,830.351,1339.537,1315.419,1357.106
2022-09-06 16:00:00,663.9802,1064.048,1042.122,1087.081
2022-09-06 17:00:00,227.4892,376.0888,366.1117,391.2903
2022-09-06 18:00:00,89.06783,151.1269,149.7963,151.8621
2022-09-06 19:00:00,12.28309,17.36975,17.3101,19.03107
2022-09-06 20:00:00,0,0,0,0
2022-09-06 21:00:00,0,0,0,0
2022-09-06 22:00:00,0,0,0,0
2022-09-06 23:00:00,0,0,0,0
2022-09-07 00:00:00,0,0,0,0
2022-09-07 01:00:00,0,0,0,0
2022-09-07 02:00:00,0,0,0,0
2022-09-07 03:00:00,0,0,0,0
2022-09-07 04:00:00,0,0,0,0
2022-09-07 05:00:00,0,0,0,0
2022-09-07 06:00:00,0,0,0,0
2022-09-07 07:00:00,22.83659,20.7771,21.21664,18.2008
2022-09-07 08:00:00,227.1205,325.894,333.31,313.9433
2022-09-07 09:00:00,431.8091,731.233,699.3916,680.2513
2022-09-07 10:00:00,608.724,997.4706,979.3547,1001.067
2022-09-07 11:00:00,896.9635,1442.766,1421.531,1443.239
2022-09-07 12:00:00,976.3401,1529.853,1499.052,1489.702
2022-09-07 13:00:00,1054.215,1586.382,1580.927,1601.407
2022-09-07 14:00:00,995.0945,1535.277,1520.33,1555.35
2022-09-07 15:00:00,757.277,1257.786,1204.431,1253.823
2022-09-07 16:00:00,628.7274,1008.716,1021.31,1065.725
2022-09-07 17:00:00,350.4356,575.9279,558.1088,591.4672
2022-09-07 18:00:00,95.9596,161.2679,159.104,167.5119
2022-09-07 19:00:00,8.902918,12.07426,12.03072,12.08068
2022-09-07 20:00:00,0,0,0,0
2022-09-07 21:00:00,0,0,0,0
2022-09-07 22:00:00,0,0,0,0
2022-09-07 23:00:00,0,0,0,0
2022-09-08 00:00:00,0,0,0,0
2022-09-08 01:00:00,0,0,0,0
2022-09-08 02:00:00,0,0,0,0
2022-09-08 03:00:00,0,0,0,0
2022-09-08 04:00:00,0,0,0,0
2022-09-08 05:00:00,0,0,0,0
2022-09-08 06:00:00,0,0,0,0
2022-09-08 07:00:00,21.73405,22.59122,21.95256,21.70813
2022-09-08 08:00:00,180.8123,284.5901,266.7383,262.6645
2022-09-08 09:00:00,316.131,480.8139,501.3644,415.3821
2022-09-08 10:00:00,294.2818,456.742,410.9877,399.3687
2022-09-08 11:00:00,298.6101,504.1896,509.7438,489.3428
2022-09-08 12:00:00,888.6338,1317.12,1285.979,1317.935
2022-09-08 13:00:00,910.5859,1259.619,1299.763,1230.49
2022-09-08 14:00:00,856.9995,1189.985,1238.841,1120.139
2022-09-08 15:00:00,640.1037,945.5229,929.7521,943.1556
2022-09-08 16:00:00,473.5406,804.2564,741.1626,802.7934
2022-09-08 17:00:00,145.6593,224.5973,232.7851,238.519
2022-09-08 18:00:00,123.6323,164.4898,163.2192,179.0553
2022-09-08 19:00:00,14.32576,20.85781,20.30623,20.26542
2022-09-08 20:00:00,0,0,0,0
2022-09-08 21:00:00,0,0,0,0
2022-09-08 22:00:00,0,0,0,0
2022-09-08 23:00:00,0,0,0,0
2022-09-09 00:00:00,0,0,0,0
2022-09-09 01:00:00,0,0,0,0
2022-09-09 02:00:00,0,0,0,0
2022-09-09 03:00:00,0,0,0,0
2022-09-09 04:00:00,0,0,0,0
2022-09-09 05:00:00,0,0,0,0
2022-09-09 06:00:00,0.02303164,0,0,0
2022-09-09 07:00:00,37.51921,52.92083,54.21287,51.61059
2022-09-09 08:00:00,79.38208,131.6591,130.8674,132.2796
2022-09-09 09:00:00,245.7453,402.7461,402.6915,416.9916
2022-09-09 10:00:00,360.9908,583.1763,569.4744,575.5656
2022-09-09 11:00:00,575.1251,773.7801,765.9904,879.319
2022-09-09 12:00:00,781.5433,1074.984,1118.269,1147.047
2022-09-09 13:00:00,632.6095,1186.129,1151.827,1097.806
2022-09-09 14:00:00,723.116,1158.512,1094.137,1157.646
2022-09-09 15:00:00,605.9769,956.936,961.6037,984.4968
2022-09-09 16:00:00,648.7897,971.0698,962.5708,1080.026
2022-09-09 17:00:00,263.5608,434.8757,424.3529,448.5845
2022-09-09 18:00:00,60.50037,96.44238,95.37048,98.61935
2022-09-09 19:00:00,7.543444,8.73997,8.686915,8.97074
2022-09-09 20:00:00,0,0,0,0
2022-09-09 21:00:00,0,0,0,0
2022-09-09 22:00:00,0,0,0,0
2022-09-09 23:00:00,0,0,0,0
2022-09-10 00:00:00,0,0,0,0
2022-09-10 01:00:00,0,0,0,0
2022-09-10 02:00:00,0,0,0,0
2022-09-10 03:00:00,0,0,0,0
2022-09-10 04:00:00,0,0,0,0
2022-09-10 05:00:00,0,0,0,0
2022-09-10 06:00:00,0,0,0,0
2022-09-10 07:00:00,3.135055,0,0,0
2022-09-10 08:00:00,13.37038,5.266938,5.191638,5.97576
2022-09-10 09:00:00,44.05014,72.18979,71.87208,78.04147
2022-09-10 10:00:00,65.44621,112.5205,112.1076,114.5182
2022-09-10 11:00:00,83.76363,146.7516,145.3025,142.2755
2022-09-10 12:00:00,134.2587,238.4471,239.77,251.0759
2022-09-10 13:00:00,219.4584,373.3252,373.3973,383.6269
2022-09-10 14:00:00,220.6633,374.5992,366.7411,357.6181
2022-09-10 15:00:00,164.0818,273.7401,267.5346,266.1567
2022-09-10 16:00:00,135.5449,229.7735,226.5484,228.3899
2022-09-10 17:00:00,183.5067,299.9412,298.6586,302.313
2022-09-10 18:00:00,37.43018,59.0947,59.2702,60.41665
2022-09-10 19:00:00,8.004502,12.62399,12.68316,12.97106
2022-09-10 20:00:00,0,0,0,0
2022-09-10 21:00:00,0,0,0,0
2022-09-10 22:00:00,0,0,0,0
2022-09-10 23:00:00,0,0,0,0
2022-09-11 00:00:00,0,0,0,0
2022-09-11 01:00:00,0,0,0,0
2022-09-11 02:00:00,0,0,0,0
2022-09-11 03:00:00,0,0,0,0
2022-09-11 04:00:00,0,0,0,0
2022-09-11 05:00:00,0,0,0,0
2022-09-11 06:00:00,0,0,0,0
2022-09-11 07:00:00,14.55503,7.7508,7.724015,5.055838
2022-09-11 08:00:00,96.02961,156.6255,156.5688,158.8201
2022-09-11 09:00:00,203.4564,329.0563,331.5062,334.1984
2022-09-11 10:00:00,245.3911,386.9421,378.5713,379.2687
2022-09-11 11:00:00,393.0688,717.7034,707.7748,689.9835
2022-09-11 12:00:00,735.8622,1036.041,780.1323,999.9241
2022-09-11 13:00:00,726.9399,1186.145,1178.2,1157.174
2022-09-11 14:00:00,674.8239,1067.922,1070.033,1045.298
2022-09-11 15:00:00,671.7546,1098.436,1104.95,1049.062
2022-09-11 16:00:00,403.4347,651.3509,640.3307,688.3667
2022-09-11 17:00:00,226.8447,374.3109,367.1887,374.0623
2022-09-11 18:00:00,112.5951,162.7277,157.4919,169.1667
2022-09-11 19:00:00,14.02604,23.35788,23.08647,26.23428
2022-09-11 20:00:00,0,0,0,0
2022-09-11 21:00:00,0,0,0,0
2022-09-11 22:00:00,0,0,0,0
2022-09-11 23:00:00,0,0,0,0
2022-09-12 00:00:00,0,0,0,0
2022-09-12 01:00:00,0,0,0,0
2022-09-12 02:00:00,0,0,0,0
2022-09-12 03:00:00,0,0,0,0
2022-09-12 04:00:00,0,0,0,0
2022-09-12 05:00:00,0,0,0,0
2022-09-12 06:00:00,0,0,0,0
2022-09-12 07:00:00,41.71581,42.11786,41.15125,40.55035
2022-09-12 08:00:00,133.1053,220.9306,215.12,217.4863
2022-09-12 09:00:00,378.6336,584.5521,715.8981,663.1534
2022-09-12 10:00:00,708.1847,952.0882,941.3782,1031.54
2022-09-12 11:00:00,811.353,1226.58,1156.633,1106.055
2022-09-12 12:00:00,861.56,1302.129,1227.947,1268.811
2022-09-12 13:00:00,866.2535,1313.869,1245.171,1251.525
2022-09-12 14:00:00,510.3157,813.1608,802.5448,825.0286
2022-09-12 15:00:00,622.4495,990.1496,977.9808,984.1766
2022-09-12 16:00:00,563.6083,850.4733,834.6202,957.0601
2022-09-12 17:00:00,359.5048,575.7071,548.9733,593.2343
2022-09-12 18:00:00,148.593,199.7938,187.3155,211.0398
2022-09-12 19:00:00,7.763036,6.361985,6.313178,6.569562
2022-09-12 20:00:00,0,0,0,0
2022-09-12 21:00:00,0,0,0,0
2022-09-12 22:00:00,0,0,0,0
2022-09-12 23:00:00,0,0,0,0
2022-09-13 00:00:00,0,0,0,0
2022-09-13 01:00:00,0,0,0,0
2022-09-13 02:00:00,0,0,0,0
2022-09-13 03:00:00,0,0,0,0
2022-09-13 04:00:00,0,0,0,0
2022-09-13 05:00:00,0,0,0,0
2022-09-13 06:00:00,0,0,0,0
2022-09-13 07:00:00,39.52671,53.60344,55.76166,47.14194
2022-09-13 08:00:00,280.0562,420.977,416.8506,390.9945
2022-09-13 09:00:00,537.0657,910.4244,873.5087,868.8671
2022-09-13 10:00:00,766.6292,1277.583,1244.279,1261.295
2022-09-13 11:00:00,935.2507,1518.651,1494.129,1516.449
2022-09-13 12:00:00,1030.031,1622.117,1593.593,1622.91
2022-09-13 13:00:00,1045.387,1613.8,1589.584,1615.509
2022-09-13 14:00:00,988.0795,1532.042,1505.529,1539.911
2022-09-13 15:00:00,823.9318,1343.482,1318.297,1348.166
2022-09-13 16:00:00,640.7944,1052.148,1027.857,1094.669
2022-09-13 17:00:00,406.0123,675.3548,644.1172,690.3953
2022-09-13 18:00:00,153.8473,214.5215,199.7973,230.4181
2022-09-13 19:00:00,9.742678,13.0439,12.70782,12.44219
2022-09-13 20:00:00,0,0,0,0
2022-09-13 21:00:00,0,0,0,0
2022-09-13 22:00:00,0,0,0,0
2022-09-13 23:00:00,0,0,0,0
2022-09-14 00:00:00,0,0,0,0
2022-09-14 01:00:00,0,0,0,0
2022-09-14 02:00:00,0,0,0,0
2022-09-14 03:00:00,0,0,0,0
2022-09-14 04:00:00,0,0,0,0
2022-09-14 05:00:00,0,0,0,0
2022-09-14 06:00:00,0,0,0,0
2022-09-14 07:00:00,31.51751,37.39263,38.73763,35.8778
2022-09-14 08:00:00,262.8727,389.5273,383.9958,364.3607
2022-09-14 09:00:00,515.9186,875.0178,838.0267,833.6934
2022-09-14 10:00:00,740.0443,1244.117,1210.323,1226.795
2022-09-14 11:00:00,909.2274,1489.145,1464.514,1487.911
2022-09-14 12:00:00,1008.539,1617.135,1595.93,1625.397
2022-09-14 13:00:00,953.3083,467.0186,462.3289,486.0216
2022-09-14 14:00:00,902.9952,0,0,0
2022-09-14 15:00:00,764.1489,0,0,0
2022-09-14 16:00:00,611.5076,746.3342,556.5382,416.6051
2022-09-14 17:00:00,397.7077,650.4352,619.9609,681.5869
2022-09-14 18:00:00,144.7993,199.7979,185.241,211.4671
2022-09-14 19:00:00,7.011071,6.231535,5.859737,5.855935
2022-09-14 20:00:00,0,0,0,0
2022-09-14 21:00:00,0,0,0,0
2022-09-14 22:00:00,0,0,0,0
2022-09-14 23:00:00,0,0,0,0
2022-09-15 00:00:00,0,0,0,0
2022-09-15 01:00:00,0,0,0,0
2022-09-15 02:00:00,0,0,0,0
2022-09-15 03:00:00,0,0,0,0
2022-09-15 04:00:00,0,0,0,0
2022-09-15 05:00:00,0,0,0,0
2022-09-15 06:00:00,0,0,0,0
2022-09-15 07:00:00,40.76276,46.26344,49.94436,44.31834
2022-09-15 08:00:00,259.7237,390.7102,385.3457,365.4338
2022-09-15 09:00:00,503.5913,853.6513,818.3516,815.3586
2022-09-15 10:00:00,735.7371,1226.529,1193.012,1210.37
